iteration,x,y,energie cinetique,energie potentielle,energie mecanique
90,0.4899270585449830458034718537,10.009423433705722193855214136,1.0714681994761200717023082985,100.09423433705722193855214136,101.16570253653334201025444966
91,0.4991282143225483358922016088,10.033217557040302706205922496,0.8135269661303149481952246997,100.33217557040302706205922496,101.14570253653334201025444966
92,0.5083293701001136259809313639,10.053011680374883218556630856,0.5955857327845098246881411009,100.53011680374883218556630856,101.12570253653334201025444966
93,0.5175305258776789160696611190,10.068805803709463730907339216,0.4176444994387047011810575021,100.68805803709463730907339216,101.10570253653334201025444966
94,0.5267316816552442061583908741,10.080599927044044243258047576,0.2797032660928995776739739033,100.80599927044044243258047576,101.08570253653334201025444966
95,0.5359328374328094962471206292,10.088394050378624755608755936,0.1817620327470944541668903045,100.88394050378624755608755936,101.06570253653334201025444966
96,0.5451339932103747863358503843,10.092188173713205267959464296,0.1238207994012893306598067057,100.92188173713205267959464296,101.04570253653334201025444967
97,0.5543351489879400764245801394,10.091982297047785780310172656,0.1058795660554842071527231069,100.91982297047785780310172656,101.02570253653334201025444967
98,0.5635363047655053665133098945,10.087776420382366292660881016,0.1279383327096790836456395081,100.87776420382366292660881016,101.00570253653334201025444967
99,0.5727374605430706566020396496,10.079570543716946805011589376,0.1899970993638739601385559093,100.79570543716946805011589376,100.98570253653334201025444967
100,0.5819386163206359466907694047,10.067364667051527317362297736,0.2920558660180688366314723105,100.67364667051527317362297736,100.96570253653334201025444967
101,0.5911397720982012367794991598,10.051158790386107829713006096,0.4341146326722637131243887117,100.51158790386107829713006096,100.94570253653334201025444967
102,0.6003409278757665268682289149,10.030952913720688342063714456,0.6161733993264585896173051129,100.30952913720688342063714456,100.92570253653334201025444967
103,0.6095420836533318169569586700,10.006747037055268854414422816,0.8382321659806534661102215141,100.06747037055268854414422816,100.90570253653334201025444967
104,0.6187432394308971070456884251,9.978541160389849366765131176,1.1002909326348483426031379153,99.78541160389849366765131176,100.88570253653334201025444968
105,0.6279443952084623971344181802,9.946335283724429879115839536,1.4023496992890432190960543165,99.46335283724429879115839536,100.86570253653334201025444968
106,0.6371455509860276872231479353,9.910129407059010391466547896,1.7444084659432380955889707177,99.10129407059010391466547896,100.84570253653334201025444968
107,0.6463467067635929773118776904,9.869923530393590903817256256,2.1264672325974329720818871189,98.69923530393590903817256256,100.82570253653334201025444968
108,0.6555478625411582674006074455,9.825717653728171416167964616,2.5485259992516278485748035201,98.25717653728171416167964616,100.80570253653334201025444968
109,0.6647490183187235574893372006,9.777511777062751928518672976,3.0105847659058227250677199213,97.77511777062751928518672976,100.78570253653334201025444968
110,0.6739501740962888475780669557,9.725305900397332440869381336,3.5126435325600176015606363225,97.25305900397332440869381336,100.76570253653334201025444968
111,0.6831513298738541376667967108,9.669100023731912953220089696,4.0547022992142124780535527235,96.69100023731912953220089696,100.74570253653334201025444968
112,0.6923524856514194277555264659,9.608894147066493465570798056,4.636761065868407354546469125,96.08894147066493465570798056,100.72570253653334201025444968
113,0.7015536414289847178442562210,9.544688270401073977921506416,5.2588198325226022310393855265,95.44688270401073977921506416,100.70570253653334201025444969
114,0.7107547972065500079329859761,9.476482393735654490272214776,5.9208785991767971075323019275,94.76482393735654490272214776,100.68570253653334201025444969
115,0.7199559529841152980217157312,9.404276517070235002622923136,6.6229373658309919840252183285,94.04276517070235002622923136,100.66570253653334201025444969
116,0.7291571087616805881104454863,9.328070640404815514973631496,7.364996132485186860518134730,93.28070640404815514973631496,100.64570253653334201025444969
117,0.7383582645392458781991752414,9.247864763739396027324339856,8.147054899139381737011051131,92.47864763739396027324339856,100.62570253653334201025444969
118,0.7475594203168111682879049965,9.163658887073976539675048216,8.969113665793576613503967532,91.63658887073976539675048216,100.60570253653334201025444969
119,0.7567605760943764583766347516,9.075453010408557052025756576,9.831172432447771489996883934,90.75453010408557052025756576,100.58570253653334201025444969
120,0.7659617318719417484653645067,8.983247133743137564376464936,10.733231199101966366489800334,89.83247133743137564376464936,100.56570253653334201025444969
121,0.7751628876495070385540942618,8.887041257077718076727173296,11.675289965756161242982716736,88.87041257077718076727173296,100.54570253653334201025444970
122,0.7843640434270723286428240169,8.786835380412298589077881656,12.657348732410356119475633137,87.86835380412298589077881656,100.52570253653334201025444970
123,0.7935651992046376187315537720,8.682629503746879101428590016,13.679407499064550995968549538,86.82629503746879101428590016,100.50570253653334201025444970
124,0.8027663549822029088202835271,8.574423627081459613779298376,14.74146626571874587246146594,85.74423627081459613779298376,100.48570253653334201025444970
125,0.8119675107597681989090132822,8.462217750416040126130006736,15.84352503237294074895438234,84.62217750416040126130006736,100.46570253653334201025444970
126,0.8211686665373334889977430373,8.346011873750620638480715096,16.985583799027135625447298742,83.46011873750620638480715096,100.44570253653334201025444970
127,0.8303698223148987790864727924,8.225805997085201150831423456,18.167642565681330501940215143,82.25805997085201150831423456,100.42570253653334201025444970
128,0.8395709780924640691752025475,8.101600120419781663182131816,19.389701332335525378433131544,81.01600120419781663182131816,100.40570253653334201025444970
129,0.8487721338700293592639323026,7.973394243754362175532840176,20.651760098989720254926047946,79.73394243754362175532840176,100.38570253653334201025444971
130,0.8579732896475946493526620577,7.8411883670889426878835485359,21.953818865643915131418964346,78.411883670889426878835485359,100.36570253653334201025444970
131,0.8671744454251599394413918128,7.7049824904235232002342568958,23.295877632298110007911880748,77.049824904235232002342568958,100.34570253653334201025444971
132,0.8763756012027252295301215679,7.5647766137581037125849652557,24.677936398952304884404797149,75.647766137581037125849652557,100.32570253653334201025444971
133,0.8855767569802905196188513230,7.4205707370926842249356736156,26.09999516560649976089771355,74.205707370926842249356736156,100.30570253653334201025444971
134,0.8947779127578558097075810781,7.2723648604272647372863819755,27.562053932260694637390629952,72.723648604272647372863819755,100.28570253653334201025444971
135,0.9039790685354210997963108332,7.1201589837618452496370903354,29.064112698914889513883546352,71.201589837618452496370903354,100.26570253653334201025444971
136,0.9131802243129863898850405883,6.9639531070964257619877986953,30.606171465569084390376462754,69.639531070964257619877986953,100.24570253653334201025444971
137,0.9223813800905516799737703434,6.8037472304310062743385070552,32.188230232223279266869379155,68.037472304310062743385070552,100.22570253653334201025444971
138,0.9315825358681169700625000985,6.6395413537655867866892154151,33.810288998877474143362295556,66.395413537655867866892154151,100.20570253653334201025444971
139,0.9407836916456822601512298536,6.4713354771001672990399237750,35.472347765531669019855211958,64.713354771001672990399237750,100.18570253653334201025444971
140,0.9499848474232475502399596087,6.2991296004347478113906321349,37.174406532185863896348128358,62.991296004347478113906321349,100.16570253653334201025444971
141,0.9591860032008128403286893638,6.1229237237693283237413404948,38.916465298840058772841044760,61.229237237693283237413404948,100.14570253653334201025444971
142,0.9683871589783781304174191189,5.9427178471039088360920488547,40.698524065494253649333961165,59.427178471039088360920488547,100.12570253653334201025444971
143,0.9775883147559434205061488740,5.7585119704384893484427572146,42.520582832148448525826877565,57.585119704384893484427572146,100.10570253653334201025444971
144,0.9867894705335087105948786291,5.5703060937730698607934655745,44.382641598802643402319793965,55.703060937730698607934655745,100.08570253653334201025444971
145,0.9959906263110740006836083842,5.3781002171076503731441739344,46.284700365456838278812710365,53.781002171076503731441739344,100.06570253653334201025444971
146,1.0051917820886392907723381393,5.1818943404422308854948822943,48.226759132111033155305626765,51.818943404422308854948822943,100.04570253653334201025444971
147,1.0781380467261511571589819832,5.3080087224664385727832281021,50.208817898765062693427193835,53.080087224664385727832281021,103.28890512342944842125947486
148,1.1620062282852897676986839656,5.4860339472045924121422452118,48.408565651383524299837022735,54.860339472045924121422452118,103.26890512342944842125947485
149,1.2458744098444283782383859480,5.6600591719427462515012623215,46.64831340400198590624685164,56.600591719427462515012623215,103.24890512342944842125947486
150,1.3297425914035669887780879304,5.8300843966809000908602794312,44.92806115662044751265668054,58.300843966809000908602794312,103.22890512342944842125947485
151,1.4136107729627055993177899128,5.9961096214190539302192965409,43.247808909238909119066509445,59.961096214190539302192965409,103.20890512342944842125947485
152,1.4974789545218442098574918952,6.1581348461572077695783136506,41.60755666185737072547633835,61.581348461572077695783136506,103.18890512342944842125947486
153,1.5813471360809828203971938776,6.3161600708953616089373307603,40.00730441447583233188616725,63.161600708953616089373307603,103.16890512342944842125947485
154,1.6652153176401214309368958600,6.4701852956335154482963478700,38.447052167094293938295996154,64.701852956335154482963478700,103.14890512342944842125947485
155,1.7490834991992600414765978424,6.6202105203716692876553649797,36.926799919712755544705825058,66.202105203716692876553649797,103.12890512342944842125947486
156,1.8329516807583986520162998248,6.7662357451098231270143820894,35.44654767233121715111565396,67.662357451098231270143820894,103.10890512342944842125947485
157,1.9168198623175372625560018072,6.9082609698479769663733991991,34.006295424949678757525482864,69.082609698479769663733991991,103.08890512342944842125947486
158,2.0006880438766758730957037896,7.0462861945861308057324163088,32.606043177568140363935311766,70.462861945861308057324163088,103.06890512342944842125947485
159,2.0845562254358144836354057720,7.1803114193242846450914334185,31.24579093018660197034514067,71.803114193242846450914334185,103.04890512342944842125947486
160,2.1684244069949530941751077544,7.3103366440624384844504505282,29.925538682805063576754969572,73.103366440624384844504505282,103.02890512342944842125947485
161,2.2522925885540917047148097368,7.4363618688005923238094676379,28.645286435423525183164798476,74.363618688005923238094676379,103.00890512342944842125947486
162,2.3361607701132303152545117192,7.5583870935387461631684847476,27.405034188041986789574627378,75.583870935387461631684847476,102.98890512342944842125947485
163,2.4200289516723689257942137016,7.6764123182769000025275018573,26.204781940660448395984456282,76.764123182769000025275018573,102.96890512342944842125947486
164,2.5038971332315075363339156840,7.7904375430150538418865189670,25.044529693278910002394285184,77.904375430150538418865189670,102.94890512342944842125947485
165,2.5877653147906461468736176664,7.9004627677532076812455360767,23.924277445897371608804114088,79.004627677532076812455360767,102.92890512342944842125947486
166,2.6716334963497847574133196488,8.006487992491361520604553186,22.84402519851583321521394299,80.06487992491361520604553186,102.90890512342944842125947485
167,2.7555016779089233679530216312,8.108513217229515359963570296,21.803772951134294821623771894,81.08513217229515359963570296,102.88890512342944842125947485
168,2.8393698594680619784927236136,8.206538441967669199322587406,20.803520703752756428033600796,82.06538441967669199322587406,102.86890512342944842125947486
169,2.9232380410272005890324255960,8.300563666705823038681604516,19.8432684563712180344434297,83.00563666705823038681604516,102.84890512342944842125947486
170,3.0071062225863391995721275784,8.390588891443976878040621626,18.923016208989679640853258602,83.90588891443976878040621626,102.82890512342944842125947486
171,3.0909744041454778101118295608,8.476614116182130717399638736,18.042763961608141247263087506,84.76614116182130717399638736,102.80890512342944842125947487
172,3.1748425857046164206515315432,8.558639340920284556758655846,17.202511714226602853672916408,85.58639340920284556758655846,102.78890512342944842125947487
173,3.2587107672637550311912335256,8.636664565658438396117672956,16.402259466845064460082745312,86.36664565658438396117672956,102.76890512342944842125947487
174,3.3425789488228936417309355080,8.710689790396592235476690066,15.642007219463526066492574214,87.10689790396592235476690066,102.74890512342944842125947487
175,3.4264471303820322522706374904,8.780715015134746074835707176,14.921754972081987672902403118,87.80715015134746074835707176,102.72890512342944842125947488
176,3.5103153119411708628103394728,8.846740239872899914194724286,14.24150272470044927931223202,88.46740239872899914194724286,102.70890512342944842125947488
177,3.5941834935003094733500414552,8.908765464611053753553741396,13.601250477318910885722060924,89.08765464611053753553741396,102.68890512342944842125947488
178,3.6780516750594480838897434376,8.966790689349207592912758506,13.000998229937372492131889826,89.66790689349207592912758506,102.66890512342944842125947489
179,3.7619198566185866944294454200,9.020815914087361432271775616,12.44074598255583409854171873,90.20815914087361432271775616,102.64890512342944842125947489
180,3.8457880381777253049691474024,9.070841138825515271630792726,11.920493735174295704951547632,90.70841138825515271630792726,102.62890512342944842125947489
181,3.9296562197368639155088493848,9.116866363563669110989809836,11.440241487792757311361376536,91.16866363563669110989809836,102.60890512342944842125947490
182,4.0135244012960025260485513672,9.158891588301822950348826946,10.999989240411218917771205438,91.58891588301822950348826946,102.58890512342944842125947490
183,4.0973925828551411365882533496,9.196916813039976789707844056,10.599736993029680524181034342,91.96916813039976789707844056,102.56890512342944842125947490
184,4.1812607644142797471279553320,9.230942037778130629066861166,10.239484745648142130590863244,92.30942037778130629066861166,102.54890512342944842125947490
185,4.2651289459734183576676573144,9.260967262516284468425878276,9.919232498266603737000692148,92.60967262516284468425878276,102.52890512342944842125947491
186,4.3489971275325569682073592968,9.286992487254438307784895386,9.63898025088506534341052105,92.86992487254438307784895386,102.50890512342944842125947491
187,4.4328653090916955787470612792,9.309017711992592147143912496,9.398728003503526949820349954,93.09017711992592147143912496,102.48890512342944842125947491
188,4.5167334906508341892867632616,9.327042936730745986502929606,9.198475756121988556230178856,93.27042936730745986502929606,102.46890512342944842125947492
189,4.6006016722099727998264652440,9.341068161468899825861946716,9.03822350874045016264000776,93.41068161468899825861946716,102.44890512342944842125947492
190,4.6844698537691114103661672264,9.351093386207053665220963826,8.917971261358911769049836662,93.51093386207053665220963826,102.42890512342944842125947492
191,4.7683380353282500209058692088,9.357118610945207504579980936,8.837719013977373375459665566,93.57118610945207504579980936,102.40890512342944842125947493
192,4.8522062168873886314455711912,9.359143835683361343938998046,8.797466766595834981869494468,93.59143835683361343938998046,102.38890512342944842125947493
193,4.9360743984465272419852731736,9.357169060421515183298015156,8.797214519214296588279323372,93.57169060421515183298015156,102.36890512342944842125947493
194,5.0199425800056658525249751560,9.351194285159669022657032266,8.836962271832758194689152274,93.51194285159669022657032266,102.34890512342944842125947493
195,5.1038107615648044630646771384,9.341219509897822862016049376,8.916710024451219801098981178,93.41219509897822862016049376,102.32890512342944842125947494
196,5.1876789431239430736043791208,9.327244734635976701375066486,9.03645777706968140750881008,93.27244734635976701375066486,102.30890512342944842125947494
197,5.2715471246830816841440811032,9.309269959374130540734083596,9.196205529688143013918638984,93.09269959374130540734083596,102.28890512342944842125947494
198,5.3554153062422202946837830856,9.287295184112284380093100706,9.395953282306604620328467886,92.87295184112284380093100706,102.26890512342944842125947495
199,5.4392834878013589052234850680,9.261320408850438219452117816,9.63570103492506622673829679,92.61320408850438219452117816,102.24890512342944842125947495
200,5.5231516693604975157631870504,9.231345633588592058811134926,9.915448787543527833148125692,92.31345633588592058811134926,102.22890512342944842125947495
201,5.6070198509196361263028890328,9.197370858326745898170152036,10.235196540161989439557954596,91.97370858326745898170152036,102.20890512342944842125947496
202,5.6908880324787747368425910152,9.159396083064899737529169146,10.594944292780451045967783498,91.59396083064899737529169146,102.18890512342944842125947496
203,5.7747562140379133473822929976,9.117421307803053576888186256,10.994692045398912652377612402,91.17421307803053576888186256,102.16890512342944842125947496
204,5.8586243955970519579219949800,9.071446532541207416247203366,11.434439798017374258787441304,90.71446532541207416247203366,102.14890512342944842125947496
205,5.9424925771561905684616969624,9.021471757279361255606220476,11.914187550635835865197270208,90.21471757279361255606220476,102.12890512342944842125947497
206,6.0263607587153291790013989448,8.967496982017515094965237586,12.43393530325429747160709911,89.67496982017515094965237586,102.10890512342944842125947497
207,6.1102289402744677895411009272,8.909522206755668934324254696,12.993683055872759078016928014,89.09522206755668934324254696,102.08890512342944842125947497
208,6.1940971218336064000808029096,8.847547431493822773683271806,13.593430808491220684426756916,88.47547431493822773683271806,102.06890512342944842125947498
209,6.2779653033927450106205048920,8.781572656231976613042288916,14.23317856110968229083658582,87.81572656231976613042288916,102.04890512342944842125947498
210,6.3618334849518836211602068744,8.711597880970130452401306026,14.912926313728143897246414722,87.11597880970130452401306026,102.02890512342944842125947498
211,6.4457016665110222316999088568,8.637623105708284291760323136,15.632674066346605503656243626,86.37623105708284291760323136,102.00890512342944842125947499
212,6.5295698480701608422396108392,8.559648330446438131119340246,16.392421818965067110066072528,85.59648330446438131119340246,101.98890512342944842125947499
213,6.6134380296292994527793128216,8.477673555184591970478357356,17.192169571583528716475901432,84.77673555184591970478357356,101.96890512342944842125947499
214,6.6973062111884380633190148040,8.391698779922745809837374466,18.031917324201990322885730334,83.91698779922745809837374466,101.94890512342944842125947499
215,6.7811743927475766738587167864,8.301724004660899649196391576,18.911665076820451929295559238,83.01724004660899649196391576,101.92890512342944842125947500
216,6.8650425743067152843984187688,8.207749229399053488555408686,19.83141282943891353570538814,82.07749229399053488555408686,101.90890512342944842125947500
217,6.9489107558658538949381207512,8.109774454137207327914425796,20.791160582057375142115217044,81.09774454137207327914425796,101.88890512342944842125947500
218,7.0327789374249925054778227336,8.007799678875361167273442906,21.790908334675836748525045946,80.07799678875361167273442906,101.86890512342944842125947501
219,7.1166471189841311160175247160,7.9018249036135150066324600157,22.83065608729429835493487485,79.018249036135150066324600157,101.84890512342944842125947501
220,7.2005153005432697265572266984,7.7918501283516688459914771254,23.910403839912759961344703752,77.918501283516688459914771254,101.82890512342944842125947501
221,7.2843834821024083370969286808,7.6778753530898226853504942351,25.030151592531221567754532656,76.778753530898226853504942351,101.80890512342944842125947501
222,7.3682516636615469476366306632,7.5599005778279765247095113448,26.189899345149683174164361558,75.599005778279765247095113448,101.78890512342944842125947501
223,7.4521198452206855581763326456,7.4379258025661303640685284545,27.389647097768144780574190462,74.379258025661303640685284545,101.76890512342944842125947501
224,7.5359880267798241687160346280,7.3119510273042842034275455642,28.629394850386606386984019364,73.119510273042842034275455642,101.74890512342944842125947501
225,7.6198562083389627792557366104,7.1819762520424380427865626739,29.909142603005067993393848268,71.819762520424380427865626739,101.72890512342944842125947501
226,7.7037243898981013897954385928,7.0480014767805918821455797836,31.22889035562352959980367717,70.480014767805918821455797836,101.70890512342944842125947501
227,7.7875925714572400003351405752,6.9100267015187457215045968933,32.588638108241991206213506074,69.100267015187457215045968933,101.68890512342944842125947501
228,7.8714607530163786108748425576,6.7680519262568995608636140030,33.988385860860452812623334976,67.680519262568995608636140030,101.66890512342944842125947501
229,7.955328934575517221414544540,6.6220771509950534002226311127,35.42813361347891441903316388,66.220771509950534002226311127,101.64890512342944842125947501
230,8.039197116134655831954246522,6.4721023757332072395816482224,36.907881366097376025442992782,64.721023757332072395816482224,101.62890512342944842125947501
231,8.123065297693794442493948504,6.3181276004713610789406653321,38.427629118715837631852821686,63.181276004713610789406653321,101.60890512342944842125947501
232,8.206933479252933053033650486,6.1601528252095149182996824418,39.98737687133429923826265059,61.601528252095149182996824418,101.58890512342944842125947501
233,8.290801660812071663573352468,5.9981780499476687576586995515,41.58712462395276084467247949,59.981780499476687576586995515,101.56890512342944842125947500
234,8.374669842371210274113054450,5.8322032746858225970177166612,43.226872376571222451082308395,58.322032746858225970177166612,101.54890512342944842125947501
235,8.458538023930348884652756432,5.6622284994239764363767337709,44.90662012918968405749213730,56.622284994239764363767337709,101.52890512342944842125947501
236,8.542406205489487495192458414,5.4882537241621302757357508806,46.62636788180814566390196620,54.882537241621302757357508806,101.50890512342944842125947501
237,8.626274387048626105732160396,5.3102789489002841150947679903,48.386115634426607270311795105,53.102789489002841150947679903,101.48890512342944842125947501
238,8.710142568607764716271862378,5.1283041736384379544537851000,50.185863387045068876721624005,51.283041736384379544537851000,101.46890512342944842125947500
239,8.794010750166903326811564360,4.9423293983765917938128022097,52.02561113966353048313145291,49.423293983765917938128022097,101.44890512342944842125947501
240,8.877878931726041937351266342,4.7523546231147456331718193194,53.90535889228199208954128181,47.523546231147456331718193194,101.42890512342944842125947500
241,8.961747113285180547890968324,4.5583798478528994725308364291,55.825106644900453695951110715,45.583798478528994725308364291,101.40890512342944842125947501
242,9.045615294844319158430670306,4.3604050725910533118898535388,57.78485439751891530236093962,43.604050725910533118898535388,101.38890512342944842125947501
243,9.129483476403457768970372288,4.1584302973292071512488706485,59.78460215013737690877076852,41.584302973292071512488706485,101.36890512342944842125947500
244,9.213351657962596379510074270,3.9524555220673609906078877582,61.824349902755838515180597425,39.524555220673609906078877582,101.34890512342944842125947501
245,9.297219839521734990049776252,3.7424807468055148299669048679,63.904097655374300121590426325,37.424807468055148299669048679,101.32890512342944842125947500
246,9.381088021080873600589478234,3.5285059715436686693259219776,66.02384540799276172800025523,35.285059715436686693259219776,101.30890512342944842125947501
